Company,Year,ROA,zmijewski_t,MV_t4,BV_t,EARN_t,NEG_t,sentiment,words,pages,flesch,t_Community,t_Resources,t_Customers,t_Employees,t_Metholodgy,t_Governance,t_Climate,w_Community,w_Resources,w_Customers,w_Employees,w_Metholodgy,w_Governance,w_Climate
MAPLETREE COMMERCIAL TRUST,2015,0.073204084,-2.472951614,2873.82286,2617.027,312.051,0,26.94,2148,4,19.86591542,0.409461522,0.151389047,0.11829493,0.125602487,0.037825486,0.096582097,0.060844432,879.5233485,325.183673,254.0975095,269.7941413,81.24914315,207.4583448,130.6938397
MAPLETREE COMMERCIAL TRUST,2016,0.067655241,-2.516799987,3309.423895,2763.976,298.71,0,38.2325,2322,4,13.82234773,0.474249822,0.102078156,0.101608516,0.145841619,0.039516788,0.052287602,0.084417498,1101.208087,237.0254783,235.9349741,338.6442387,91.75798115,121.4118113,196.0174298
MAPLETREE COMMERCIAL TRUST,2017,0.053989812,-2.405988149,4604.626521,3957.453,345.84,0,24.56875,4204,8,18.46764051,0.183051399,0.157285092,0.096524169,0.140294032,0.086021716,0.251358499,0.085465093,769.5480816,661.226526,405.7876046,589.7961106,361.6352949,1056.711131,359.2952512
MAPLETREE COMMERCIAL TRUST,2018,0.084199488,-2.644795435,4633.46943,4283.373,567.573,0,19.87375,6908,16,4.274098087,0.159944189,0.146898393,0.09092924,0.158097774,0.154873253,0.209269158,0.079987991,1104.894461,1014.774101,628.1391866,1092.139426,1069.864435,1445.631346,552.5570443
MAPLETREE COMMERCIAL TRUST,2019,0.08200553,-2.717170818,5861.539586,4615.979,582.302,0,25.215,9302,18,2.640435969,0.178742223,0.117565157,0.089519775,0.148958483,0.183742785,0.18142457,0.100047006,1662.660162,1093.591094,832.7129486,1385.611809,1709.175387,1687.611349,930.6372505
MAPLETREE COMMERCIAL TRUST,2020,0.060296503,-2.576708144,6151.9686,5786.948,543.095,0,20.29291667,10875,24,4.032093823,0.130916493,0.173080498,0.110829196,0.163072807,0.1387328,0.19087952,0.092488685,1423.716864,1882.250418,1205.267503,1773.416778,1508.719205,2075.814779,1005.814452
MAPLETREE COMMERCIAL TRUST,2021,0.007664975,-2.309407846,7163.00064,5708.968,68.606,0,18.38064516,13325,31,4.19329051,0.092584417,0.190586547,0.141864769,0.161089785,0.130358484,0.200962986,0.082553011,1233.687363,2539.56574,1890.34805,2146.521391,1737.026794,2677.831791,1100.018872
MAPLETREE INDUSTRIAL TRUST,2015,0.10646897,-2.870350341,2677.564272,2312.183,374.34,0,30.184,10927,10,8.437977178,0.082554493,0.048786544,0.044413034,0.070783684,0.054820763,0.643094581,0.055546902,902.0729438,533.0905625,485.3012202,773.4533134,599.0264807,7027.094483,606.9609966
MAPLETREE INDUSTRIAL TRUST,2016,0.075216456,-2.857581392,3200.764905,2465.224,272.58,0,27.30714286,13571,14,5.396208196,0.081072562,0.052082054,0.043347251,0.069214567,0.056480603,0.628850098,0.068952865,1100.235744,706.8055529,588.2655392,939.3108938,766.4982569,8534.124676,935.7593373
MAPLETREE INDUSTRIAL TRUST,2017,0.071239245,-2.764738304,3364.895137,2532.789,270.571,0,17.39875,5912,16,10.74720648,0.105320257,0.204542652,0.089166314,0.147448539,0.077982386,0.298894532,0.076645319,622.6533623,1209.25616,527.1512505,871.715765,461.0318677,1767.06447,453.1271242
MAPLETREE INDUSTRIAL TRUST,2018,0.072341563,-2.782986062,3764.680191,2780.072,300.53,0,12.09041667,7894,24,12.22078093,0.10257333,0.20725489,0.09994546,0.156882651,0.136641966,0.212195374,0.084506329,809.7138694,1636.070103,788.9694602,1238.431646,1078.651679,1675.070281,667.0929606
MAPLETREE INDUSTRIAL TRUST,2019,0.058850062,-2.677517939,4540.558533,3047.526,271.126,0,14.42347826,9624,24,1.459779851,0.09139084,0.165420714,0.075385754,0.185551111,0.175620727,0.215677,0.090953854,879.5454446,1592.008954,725.5124944,1785.743888,1690.173879,2075.675447,875.3398938
MAPLETREE INDUSTRIAL TRUST,2020,0.070769329,-2.870772063,7252.219859,3560.121,367.143,0,13.60916667,12989,36,0.284820512,0.080153111,0.213617073,0.093532197,0.169931092,0.131995241,0.227970623,0.082800664,1041.108755,2774.672167,1214.889705,2207.23495,1714.48618,2961.110425,1075.497818
